id,hidraulic,puming_turbine,nuclear,coal,diesel_engines,gas_turbine,vapour_turbine,combined_cycle,hidro_wind,wind,photovoltaic_solar,solar_thermal,other_renewable,co_generation,non_renewable_waste,renewable_waste,total,month,year,years,months
1,2127.215051,160.23615900000001,5041.388826,3292.737912,244.732124,44.471036,218.650612,3497.66044,1.109656,6027.203735,507.327131,166.150129,304.554098,2674.800502,206.7050175,73.61360950000001,24588.556038,1900-01-01,2019-01-01,2019,1.0
2,2483.405474,184.627656,4766.785658,2411.17859,210.42038,41.54432,212.981811,2730.581106,0.972545,3695.709607,634.7991430000001,261.978603,285.70381699999996,2394.8497089999996,188.0989705,69.2414995,20572.878889,1900-02-01,2019-01-01,2019,2.0
3,2132.667288,182.22747099999998,5274.747281999999,966.325098,209.79828,53.628455,209.06031,2437.362725,1.955158,4921.192632,812.728041,477.846093,310.42641499999996,2594.5731800000003,212.40160699999998,78.982702,20875.922736999997,1900-03-01,2019-01-01,2019,3.0
4,1926.065412,129.466814,4621.662922,849.942221,216.93779,50.182495,199.95457399999998,3037.267222,1.5483689999999999,4663.698402,703.515765,379.26881699999996,275.23064899999997,2492.4755219999997,189.259255,78.095677,19814.571907000005,1900-04-01,2019-01-01,2019,4.0
5,1935.367585,124.931376,3976.917465,465.000029,221.392699,50.869689,201.71434599999998,4223.793661000001,2.031012,4677.077559,940.395949,740.9977269999999,283.124724,2547.230698,168.295238,50.063659,20609.203415000004,1900-05-01,2019-01-01,2019,5.0
6,1626.902976,54.72582,4647.876956,515.009225,251.37793100000002,53.24269,209.91055799999998,5478.846625,1.372141,3287.492495,934.5620620000001,775.0576060000001,286.631074,2422.763722,170.69003899999998,76.416737,20792.878656999997,1900-06-01,2019-01-01,2019,6.0
7,1582.244918,24.305242,5123.111728,834.325099,261.696105,88.98833599999999,137.955038,7379.659616000001,3.727338,3440.87079,1003.565027,722.86749,326.868157,2459.280409,176.176208,80.477059,23646.11856,1900-07-01,2019-01-01,2019,7.0
8,1255.0121399999998,70.640006,5068.144387,598.405305,281.653442,87.894628,116.694829,7388.506265999999,3.4751190000000003,2890.7696579999997,1015.180943,745.4987709999999,321.413612,2358.023058,195.2659,79.105361,22475.683424000003,1900-08-01,2019-01-01,2019,8.0
9,1225.2644750000002,104.264726,4995.506281000001,683.0745840000001,257.737056,70.446732,157.509026,5741.488022,2.218351,3895.42914,861.514233,454.73186499999997,301.967939,2357.197593,202.07823449999998,77.7852695,21388.213527999993,1900-09-01,2019-01-01,2019,9.0
10,1122.327883,116.03075,4530.668762,866.1578619999999,245.159304,44.678867,170.575942,5979.694438,1.582837,3809.5985,794.698796,303.08525699999996,311.60132600000003,2496.488406,184.6147155,77.2425015,21054.206145999997,1900-10-01,2019-01-01,2019,10.0
11,2663.333138,172.10638200000002,3427.526295,676.648063,210.765949,47.465714,184.81552299999998,4192.460766,2.0965219999999998,7458.615235,525.6959969999999,69.97061199999999,309.135988,2471.281284,158.9214475,74.4879415,22645.326857000004,1900-11-01,2019-01-01,2019,11.0
12,4639.208858,321.942702,4349.890213000001,511.83340999999996,224.382084,37.119115,169.188099,3154.6493309999996,1.15967,5477.3981459999995,518.035794,68.97817500000001,301.056101,2346.1209219999996,169.9566745,74.3017335,22365.221027999996,1900-12-01,2019-01-01,2019,12.0
1,3729.343833,233.778898,5289.146024000001,865.8870039999999,236.41896100000002,38.932289,146.918518,3856.118343,0.82455,4626.864398,625.344395,85.967851,335.311749,2440.531494,167.34300399999998,64.55073900000001,22743.282050000005,1900-01-01,2020-01-01,2020,1.0
